epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
12,20253,,,,,,,,,,,,,,,,,4.170709609985352,1.592962622642517,3.361759662628174,0.6181384325027466,3.9483695030212402,1.3794562816619873,3.1357836723327637,0.5961999893188477,4.624606609344482,1.706838607788086,3.7935895919799805,0.6944444179534912,3.9169106483459473,1.3543882369995117,3.104283094406128,0.5925925970077515
12,20253,4.349494934082031,1.6806622743606567,3.532200574874878,0.6124377846717834,4.277343273162842,1.5457103252410889,3.4593114852905273,0.6233896613121033,5.265319347381592,1.9723976850509644,4.433931350708008,0.6918429136276245,4.256436824798584,1.5274379253387451,3.438532590866089,0.6233611106872559,,,,,,,,,,,,,,,,
13,21811,,,,,,,,,,,,,,,,,4.026272773742676,1.5635507106781006,3.2115530967712402,0.5560859441757202,3.9308698177337646,1.3526980876922607,3.1097562313079834,0.5637999773025513,4.915409564971924,1.8234435319900513,4.081879615783691,0.7222222089767456,3.9062838554382324,1.3255881071090698,3.0847725868225098,0.5619871616363525
13,21811,4.2903900146484375,1.6459697484970093,3.4687070846557617,0.6094527244567871,4.208588600158691,1.5229284763336182,3.3884546756744385,0.6135971546173096,5.16998291015625,1.993857741355896,4.338658809661865,0.6767371892929077,4.187211036682129,1.5050679445266724,3.367377519607544,0.6130403876304626,,,,,,,,,,,,,,,,
14,23369,,,,,,,,,,,,,,,,,4.043405532836914,1.593755841255188,3.229771375656128,0.6014319658279419,3.927232503890991,1.3877166509628296,3.1112735271453857,0.5888000130653381,5.292694568634033,2.006747245788574,4.4607696533203125,0.6944444179534912,3.894632577896118,1.3586856126785278,3.0787127017974854,0.5859392285346985
14,23369,4.157105445861816,1.6220470666885376,3.3391995429992676,0.5985074639320374,4.175379276275635,1.509756326675415,3.356581926345825,0.6079784631729126,5.1146416664123535,1.9059491157531738,4.2881550788879395,0.6978852152824402,4.163233757019043,1.493948221206665,3.344470739364624,0.6075035333633423,,,,,,,,,,,,,,,,
15,24927,,,,,,,,,,,,,,,,,4.003328800201416,1.5620088577270508,3.1889750957489014,0.5918854475021362,3.852996826171875,1.3765558004379272,3.038057327270508,0.5888000130653381,4.865042209625244,1.8162797689437866,4.032866477966309,0.6527777910232544,3.822866439819336,1.3523006439208984,3.008148431777954,0.5874916911125183
15,24927,4.201900482177734,1.6022491455078125,3.382899761199951,0.6179104447364807,4.150263786315918,1.4970729351043701,3.3316657543182373,0.6064534187316895,5.077064514160156,1.9530409574508667,4.244620323181152,0.6767371892929077,4.132081985473633,1.4810205698013306,3.313720941543579,0.6044028997421265,,,,,,,,,,,,,,,,
16,26485,,,,,,,,,,,,,,,,,4.015842437744141,1.576465129852295,3.202704906463623,0.5799522399902344,3.8911805152893066,1.3940963745117188,3.0748019218444824,0.5669999718666077,5.1452250480651855,1.9308605194091797,4.316035270690918,0.5972222089767456,3.8595707416534424,1.3685789108276367,3.043097734451294,0.5653138160705566
16,26485,4.244349479675293,1.63053297996521,3.423794746398926,0.5940298438072205,4.131244659423828,1.4916123151779175,3.310872793197632,0.6024401187896729,5.2810258865356445,1.9540843963623047,4.447865962982178,0.731117844581604,4.104313373565674,1.4724634885787964,3.284147262573242,0.6013022661209106,,,,,,,,,,,,,,,,
17,28043,,,,,,,,,,,,,,,,,3.922807455062866,1.5384063720703125,3.107564926147461,0.5990453362464905,3.863560199737549,1.3756916522979736,3.047009229660034,0.5722000002861023,5.159560203552246,1.8437532186508179,4.333315372467041,0.6805555820465088,3.837357759475708,1.3530964851379395,3.0208425521850586,0.5679751634597778
17,28043,4.148731231689453,1.5604430437088013,3.3288495540618896,0.5945273637771606,4.080191612243652,1.4620715379714966,3.2608249187469482,0.6043263673782349,5.106391429901123,1.9447743892669678,4.276958465576172,0.7069486379623413,4.059044361114502,1.4462343454360962,3.2398717403411865,0.6036942005157471,,,,,,,,,,,,,,,,
18,29601,,,,,,,,,,,,,,,,,3.8929953575134277,1.5328460931777954,3.0829105377197266,0.577565610408783,3.8758883476257324,1.368528962135315,3.068767547607422,0.5813999772071838,5.1285271644592285,1.8710891008377075,4.298135757446289,0.6111111044883728,3.8542966842651367,1.345234751701355,3.0478246212005615,0.5812819004058838
18,29601,4.090784549713135,1.574340581893921,3.2715003490448,0.5666666626930237,4.040074348449707,1.4592589139938354,3.222597360610962,0.5924469232559204,5.074346542358398,1.9340014457702637,4.244431972503662,0.6888217329978943,4.020392894744873,1.4420521259307861,3.2032668590545654,0.5933291912078857,,,,,,,,,,,,,,,,
19,31159,,,,,,,,,,,,,,,,,4.062087059020996,1.5642409324645996,3.2484805583953857,0.577565610408783,3.9167261123657227,1.35504949092865,3.1001856327056885,0.58160001039505,5.344427585601807,2.0157346725463867,4.517845630645752,0.6666666865348816,3.880420684814453,1.3250609636306763,3.063768148422241,0.5806165337562561
19,31159,4.1090922355651855,1.5752466917037964,3.2887065410614014,0.5840796232223511,4.052174091339111,1.4551399946212769,3.2325518131256104,0.5926476120948792,5.198374271392822,1.96085786819458,4.364675998687744,0.7190332412719727,4.030303955078125,1.4370310306549072,3.2109498977661133,0.5915573835372925,,,,,,,,,,,,,,,,
20,32717,,,,,,,,,,,,,,,,,3.888392448425293,1.4680274724960327,3.0751805305480957,0.5823389291763306,3.7115862369537354,1.279403567314148,2.895630121231079,0.5473999977111816,5.26954460144043,1.9466116428375244,4.436951160430908,0.6388888955116272,3.670278787612915,1.2512218952178955,2.8543319702148438,0.5426923632621765
20,32717,3.955101490020752,1.4790745973587036,3.139620304107666,0.5711442828178406,3.838268756866455,1.35020112991333,3.0230376720428467,0.5702130794525146,4.869626522064209,1.8640683889389038,4.045170783996582,0.6797583103179932,3.812739849090576,1.3311927318572998,2.9976704120635986,0.5685241222381592,,,,,,,,,,,,,,,,
21,34275,,,,,,,,,,,,,,,,,3.8188657760620117,1.4680324792861938,3.0062410831451416,0.5751789808273315,3.754857063293457,1.2889281511306763,2.9379944801330566,0.5350000262260437,5.339123249053955,1.8876307010650635,4.507795333862305,0.625,3.7236108779907227,1.2627252340316772,2.906585693359375,0.529829204082489
21,34275,3.8739707469940186,1.4497029781341553,3.057302713394165,0.5691542029380798,3.7962777614593506,1.3380571603775024,2.9787237644195557,0.5615442991256714,4.959599018096924,1.864632487297058,4.132214069366455,0.6676737070083618,3.772308349609375,1.3203952312469482,2.9548122882843018,0.559310793876648,,,,,,,,,,,,,,,,
22,35833,,,,,,,,,,,,,,,,,4.101040840148926,1.502081274986267,3.29148268699646,0.6443914175033569,3.6930184364318848,1.2650132179260254,2.8813822269439697,0.5440000295639038,5.051661014556885,1.8482625484466553,4.22797966003418,0.5694444179534912,3.633409023284912,1.2336697578430176,2.821770668029785,0.5342648029327393
22,35833,3.9537980556488037,1.4768171310424805,3.1361865997314453,0.5671641826629639,3.779162645339966,1.326736330986023,2.9621455669403076,0.5556447505950928,4.8327107429504395,1.791265845298767,4.003015041351318,0.7280966639518738,3.7481727600097656,1.3065623044967651,2.9313905239105225,0.5520907044410706,,,,,,,,,,,,,,,,
23,37391,,,,,,,,,,,,,,,,,3.8907527923583984,1.4761772155761719,3.079712390899658,0.584725558757782,3.6844682693481445,1.2640172243118286,2.869407892227173,0.5460000038146973,5.400607585906982,1.918925166130066,4.5696611404418945,0.6805555820465088,3.6378955841064453,1.2338447570800781,2.822715997695923,0.5402528047561646
23,37391,3.8485097885131836,1.4332644939422607,3.0320022106170654,0.5582089424133301,3.755316734313965,1.318900465965271,2.9387545585632324,0.5556848645210266,4.851058483123779,1.835394024848938,4.022029399871826,0.7009063363075256,3.7309510707855225,1.3011465072631836,2.914572238922119,0.5533309578895569,,,,,,,,,,,,,,,,
24,38949,,,,,,,,,,,,,,,,,4.025570392608643,1.5255019664764404,3.2118546962738037,0.6133651733398438,3.7065036296844482,1.2659531831741333,2.8948113918304443,0.5562000274658203,4.938991069793701,1.8194533586502075,4.110919952392578,0.625,3.6571743488311768,1.2329963445663452,2.8459312915802,0.549789309501648
24,38949,3.8549511432647705,1.4319511651992798,3.036801338195801,0.5472636818885803,3.7193589210510254,1.304064154624939,2.9024555683135986,0.5471364855766296,4.696853160858154,1.765067219734192,3.8679707050323486,0.6797583103179932,3.6929502487182617,1.2859200239181519,2.876340389251709,0.5451807379722595,,,,,,,,,,,,,,,,
25,40507,,,,,,,,,,,,,,,,,3.83284068107605,1.4738150835037231,3.0190250873565674,0.5632458329200745,3.6565539836883545,1.2446969747543335,2.8414478302001953,0.5401999950408936,5.193723678588867,1.9420751333236694,4.363987922668457,0.6388888955116272,3.615626335144043,1.2122700214385986,2.8006339073181152,0.536482572555542
25,40507,3.809760570526123,1.4333854913711548,2.991981029510498,0.5263681411743164,3.7136809825897217,1.3002418279647827,2.8972721099853516,0.5489826202392578,4.55950927734375,1.736457347869873,3.7287380695343018,0.6555891036987305,3.6927268505096436,1.281991720199585,2.8766510486602783,0.5494330525398254,,,,,,,,,,,,,,,,
26,42065,,,,,,,,,,,,,,,,,3.8942482471466064,1.479402780532837,3.075376033782959,0.577565610408783,3.6223089694976807,1.235397458076477,2.802419424057007,0.5144000053405762,5.106828689575195,1.8805147409439087,4.276727199554443,0.625,3.573333501815796,1.2024216651916504,2.753511905670166,0.5067642331123352
26,42065,3.79469633102417,1.4086072444915771,2.977274179458618,0.5537313222885132,3.7073559761047363,1.3002890348434448,2.8906490802764893,0.5496247410774231,4.727228164672852,1.7989424467086792,3.8967597484588623,0.6858006119728088,3.6846277713775635,1.2833333015441895,2.8681907653808594,0.5472626090049744,,,,,,,,,,,,,,,,
27,43623,,,,,,,,,,,,,,,,,3.793278217315674,1.4779117107391357,2.9785077571868896,0.5417661070823669,3.62399959564209,1.2538214921951294,2.8062336444854736,0.5231999754905701,5.4491658210754395,2.0030534267425537,4.617882251739502,0.6527777910232544,3.5791234970092773,1.221034049987793,2.7612967491149902,0.5194056034088135
27,43623,3.7839150428771973,1.4085379838943481,2.9639370441436768,0.5452736616134644,3.695113182067871,1.2944966554641724,2.876253128051758,0.5439258217811584,4.7777628898620605,1.782310962677002,3.9479732513427734,0.652567982673645,3.671328544616699,1.277190923690796,2.8527331352233887,0.542212963104248,,,,,,,,,,,,,,,,
28,45181,,,,,,,,,,,,,,,,,3.7699038982391357,1.4484089612960815,2.9569122791290283,0.5632458329200745,3.6235249042510986,1.2434829473495483,2.8083739280700684,0.5194000005722046,4.97562313079834,1.888022541999817,4.147026062011719,0.5833333134651184,3.588331699371338,1.214147925376892,2.7731950283050537,0.5143046975135803
