epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,0,,,,,,,,,15.292496681213379,7.791227340698242,14.459197044372559,1.0,15.292496681213379,7.791227340698242,14.459197044372559,1.0
0,0,16.339197158813477,9.543221473693848,15.506048202514648,1.0,16.339197158813477,9.543221473693848,15.506048202514648,1.0,,,,,,,,
1,1,,,,,,,,,14.315057754516602,7.334746360778809,13.481694221496582,0.9672130942344666,14.315057754516602,7.334746360778809,13.481694221496582,0.9672130942344666
1,1,14.922959327697754,7.816483020782471,14.088197708129883,1.0,14.922959327697754,7.816483020782471,14.088197708129883,1.0,,,,,,,,
2,2,,,,,,,,,14.101458549499512,7.214173793792725,13.268123626708984,0.9344262480735779,14.101458549499512,7.214173793792725,13.268123626708984,0.9344262480735779
2,2,13.976397514343262,7.317610263824463,13.143891334533691,0.9016393423080444,13.976397514343262,7.317610263824463,13.143891334533691,0.9016393423080444,,,,,,,,
3,3,,,,,,,,,13.107489585876465,6.565363883972168,12.274188995361328,0.7704917788505554,13.107489585876465,6.565363883972168,12.274188995361328,0.7704917788505554
3,3,13.726419448852539,7.212642669677734,12.89364242553711,0.8360655903816223,13.726419448852539,7.212642669677734,12.89364242553711,0.8360655903816223,,,,,,,,
4,4,,,,,,,,,12.818418502807617,6.435250759124756,11.985069274902344,0.7540983557701111,12.818418502807617,6.435250759124756,11.985069274902344,0.7540983557701111
4,4,12.784546852111816,6.546025276184082,11.952322959899902,0.7540983557701111,12.784546852111816,6.546025276184082,11.952322959899902,0.7540983557701111,,,,,,,,
5,5,,,,,,,,,12.3392333984375,6.25504207611084,11.505868911743164,0.7049180269241333,12.3392333984375,6.25504207611084,11.505868911743164,0.7049180269241333
5,5,12.488459587097168,6.390272617340088,11.654716491699219,0.7377049326896667,12.488459587097168,6.390272617340088,11.654716491699219,0.7377049326896667,,,,,,,,
6,6,,,,,,,,,11.9673433303833,6.18537712097168,11.13399600982666,0.6721311211585999,11.9673433303833,6.18537712097168,11.13399600982666,0.6721311211585999
6,6,12.120645523071289,6.229877948760986,11.287403106689453,0.6721311211585999,12.120645523071289,6.229877948760986,11.287403106689453,0.6721311211585999,,,,,,,,
7,7,,,,,,,,,11.696496963500977,6.156795501708984,10.86316204071045,0.7704917788505554,11.696496963500977,6.156795501708984,10.86316204071045,0.7704917788505554
7,7,11.750948905944824,6.154656410217285,10.917137145996094,0.6721311211585999,11.750948905944824,6.154656410217285,10.917137145996094,0.6721311211585999,,,,,,,,
8,8,,,,,,,,,11.530374526977539,6.106346130371094,10.697029113769531,0.7868852615356445,11.530374526977539,6.106346130371094,10.697029113769531,0.7868852615356445
8,8,11.47679328918457,6.116086959838867,10.644122123718262,0.6721311211585999,11.47679328918457,6.116086959838867,10.644122123718262,0.6721311211585999,,,,,,,,
