epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,7,,,,,,,,,,,,,12.666319847106934,6.440437316894531,11.83298397064209,0.7377049326896667,12.666319847106934,6.440437316894531,11.83298397064209,0.7377049326896667
0,7,40.388797760009766,17.953062057495117,39.54647445678711,1.0,40.763031005859375,18.864154815673828,39.929710388183594,0.9679999947547913,40.781898498535156,18.91009521484375,39.94903564453125,0.9663865566253662,,,,,,,,
1,15,,,,,,,,,,,,,11.308429718017578,7.116986274719238,10.475088119506836,0.8524590134620667,11.308429718017578,7.116986274719238,10.475088119506836,0.8524590134620667
1,15,36.541133880615234,16.726728439331055,35.70688247680664,0.6666666865348816,37.931053161621094,16.796009063720703,37.098636627197266,0.9440000057220459,38.001136779785156,16.799503326416016,37.16880416870117,0.9579831957817078,,,,,,,,
2,23,,,,,,,,,,,,,12.157861709594727,9.901459693908691,11.324527740478516,0.9836065769195557,12.157861709594727,9.901459693908691,11.324527740478516,0.9836065769195557
2,23,33.77195739746094,16.42110252380371,32.9367561340332,1.0,34.57497024536133,15.661089897155762,33.74142074584961,0.9599999785423279,34.615455627441406,15.622770309448242,33.78199768066406,0.9579831957817078,,,,,,,,
