epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
0,1557,,,,,,,,,,,,,,,,,7.865733623504639,3.2321724891662598,7.032745361328125,0.7899761199951172,7.507946968078613,3.149688243865967,6.674891471862793,0.8185999989509583,7.1761298179626465,3.0016021728515625,6.343040943145752,0.75,7.4799957275390625,3.1443874835968018,6.646937370300293,0.8223552703857422
0,1557,12.244648933410645,6.063089847564697,11.411500930786133,0.8064676523208618,15.056406021118164,6.855410575866699,14.223133087158203,0.8460087776184082,11.94271183013916,6.026814937591553,11.109186172485352,0.8549848794937134,15.35239028930664,6.9381022453308105,14.5191011428833,0.849397599697113,,,,,,,,,,,,,,,,
1,3115,,,,,,,,,,,,,,,,,6.845038414001465,2.7603256702423096,6.0124125480651855,0.7398567795753479,7.431481838226318,2.898423671722412,6.598703861236572,0.8029999732971191,9.354793548583984,3.491114377975464,8.521988868713379,0.8611111044883728,7.455265045166016,2.9017930030822754,6.622475624084473,0.8079396486282349
1,3115,6.7713623046875,2.9123823642730713,5.938131332397461,0.7532338500022888,7.425891876220703,3.0633466243743896,6.592648029327393,0.7952000498771667,6.9637603759765625,2.9739561080932617,6.130550861358643,0.8549848794937134,7.49094295501709,3.0781006813049316,6.657698631286621,0.79805988073349,,,,,,,,,,,,,,,,
2,4673,,,,,,,,,,,,,,,,,5.60794734954834,2.4265120029449463,4.776025772094727,0.6658711433410645,6.0860514640808105,2.410783052444458,5.254440784454346,0.7458000183105469,6.521419525146484,2.7900586128234863,5.689786911010742,0.8333333134651184,6.123527526855469,2.4032657146453857,5.291947364807129,0.7518296837806702
2,4673,6.116219997406006,2.642216444015503,5.2834930419921875,0.7303482294082642,6.729984760284424,2.713364601135254,5.897371768951416,0.7808323502540588,6.624230861663818,2.912654399871826,5.790419101715088,0.8187311291694641,6.786187648773193,2.7167768478393555,5.953592777252197,0.7847714424133301,,,,,,,,,,,,,,,,
3,6231,,,,,,,,,,,,,,,,,5.425751686096191,2.157275438308716,4.602035999298096,0.6897374987602234,5.491038799285889,2.103560447692871,4.665804386138916,0.7182000279426575,4.994940280914307,2.0539064407348633,4.166203498840332,0.7222222089767456,5.505026340484619,2.0993611812591553,4.6797051429748535,0.7207806706428528
3,6231,5.6455583572387695,2.418236255645752,4.816954612731934,0.711442768573761,6.282135009765625,2.5104551315307617,5.451829433441162,0.7563912272453308,6.231736660003662,2.6232104301452637,5.40018367767334,0.8247734308242798,6.339556694030762,2.5170106887817383,5.509113788604736,0.7593905329704285,,,,,,,,,,,,,,,,
4,7789,,,,,,,,,,,,,,,,,5.956348896026611,2.5409820079803467,5.112130641937256,0.7088305354118347,6.214385032653809,2.512514591217041,5.375401020050049,0.7603999972343445,6.481429100036621,2.6324119567871094,5.639640808105469,0.8055555820465088,6.2340989112854,2.5079545974731445,5.395648002624512,0.7644710540771484
4,7789,5.500044345855713,2.3121485710144043,4.679989814758301,0.7129353284835815,5.883975982666016,2.3367202281951904,5.061790466308594,0.7400168776512146,6.267319202423096,2.5422399044036865,5.435847759246826,0.7794561982154846,5.912537574768066,2.3358967304229736,5.090298175811768,0.7418497800827026,,,,,,,,,,,,,,,,
5,9347,,,,,,,,,,,,,,,,,4.798825740814209,1.8982168436050415,3.983415365219116,0.680190920829773,5.491693496704102,2.0834646224975586,4.672957897186279,0.7182000279426575,5.461190223693848,2.1484673023223877,4.638748645782471,0.6944444179534912,5.556565284729004,2.099640369415283,4.737579822540283,0.7221113443374634
5,9347,5.22468900680542,2.142176628112793,4.403895854949951,0.6880596876144409,5.672623157501221,2.22837233543396,4.851510524749756,0.7256090044975281,5.936416149139404,2.395963191986084,5.1091694831848145,0.7703927755355835,5.70863676071167,2.2335879802703857,4.887584686279297,0.7282955646514893,,,,,,,,,,,,,,,,
6,10905,,,,,,,,,,,,,,,,,4.5267462730407715,1.908852458000183,3.702925443649292,0.6587111949920654,5.208940029144287,2.0384132862091064,4.388248920440674,0.7260000109672546,6.363763332366943,2.481095314025879,5.528062343597412,0.8333333134651184,5.2538933753967285,2.043383836746216,4.43372917175293,0.7305389046669006
6,10905,5.242091655731201,2.145789384841919,4.422648906707764,0.7049751281738281,5.530250549316406,2.159802198410034,4.710752010345459,0.7227595448493958,5.823998928070068,2.374765634536743,4.995673179626465,0.7462235689163208,5.551600456237793,2.1578986644744873,4.7322258949279785,0.7239989638328552,,,,,,,,,,,,,,,,
7,12463,,,,,,,,,,,,,,,,,5.413755416870117,2.0898966789245605,4.5904951095581055,0.7326968908309937,5.355220317840576,1.9479060173034668,4.535472869873047,0.7242000102996826,7.070231914520264,2.496873378753662,6.248220443725586,0.875,5.322396278381348,1.9259454011917114,4.5030107498168945,0.721002459526062
7,12463,4.955207824707031,2.0351133346557617,4.13730525970459,0.686069667339325,5.274197101593018,2.055704355239868,4.459603309631348,0.7047397494316101,5.7189202308654785,2.2882091999053955,4.89657735824585,0.7552869915962219,5.296072959899902,2.054129123687744,4.481890678405762,0.705660879611969,,,,,,,,,,,,,,,,
8,14021,,,,,,,,,,,,,,,,,4.483994007110596,1.7877302169799805,3.6638107299804688,0.7136037945747375,4.950817584991455,1.9262347221374512,4.134912967681885,0.7125999927520752,6.104803085327148,2.1829559803009033,5.282357692718506,0.7777777910232544,4.975770473480225,1.935006022453308,4.16037130355835,0.7114659547805786
8,14021,4.977754592895508,2.000230550765991,4.156359672546387,0.6791045069694519,5.209111213684082,2.0238308906555176,4.388695240020752,0.7022514939308167,5.6890716552734375,2.2849981784820557,4.860615253448486,0.7462235689163208,5.22267484664917,2.0221030712127686,4.4024577140808105,0.7036676406860352,,,,,,,,,,,,,,,,
9,15579,,,,,,,,,,,,,,,,,4.647607803344727,1.8044884204864502,3.836402654647827,0.663484513759613,4.728209495544434,1.7547062635421753,3.9132540225982666,0.6723999977111816,5.625003337860107,2.0894899368286133,4.785017013549805,0.7222222089767456,4.72137975692749,1.744734525680542,3.9064748287200928,0.6724328994750977
9,15579,4.831289291381836,1.934397578239441,4.011193752288818,0.6840795874595642,5.074728488922119,1.9562780857086182,4.257028579711914,0.6944254636764526,5.745771408081055,2.2576467990875244,4.917861461639404,0.7824773192405701,5.086565017700195,1.9538074731826782,4.269218921661377,0.6940556168556213,,,,,,,,,,,,,,,,
10,17137,,,,,,,,,,,,,,,,,4.334707260131836,1.693772315979004,3.510138750076294,0.6587111949920654,4.35715913772583,1.6230876445770264,3.542841911315918,0.6403999924659729,5.632293224334717,2.168379068374634,4.808333873748779,0.6805555820465088,4.338884353637695,1.6078118085861206,3.5256731510162354,0.6380572319030762
10,17137,4.4759016036987305,1.780152678489685,3.6560938358306885,0.6457711458206177,4.538300514221191,1.7154040336608887,3.722827196121216,0.6481919884681702,5.099282741546631,2.0540714263916016,4.269640922546387,0.7220543622970581,4.53563117980957,1.7046736478805542,3.7207577228546143,0.6473246216773987,,,,,,,,,,,,,,,,
11,18695,,,,,,,,,,,,,,,,,3.904099702835083,1.5767277479171753,3.076446294784546,0.5871121883392334,4.121555805206299,1.5041768550872803,3.300811767578125,0.5916000008583069,5.411396026611328,2.12276554107666,4.582459926605225,0.6805555820465088,4.1211652755737305,1.4875580072402954,3.301194429397583,0.5905965566635132
11,18695,4.281313896179199,1.703199863433838,3.462226152420044,0.6079602241516113,4.412052154541016,1.6388546228408813,3.598180055618286,0.6333025693893433,5.295594692230225,2.061814546585083,4.469682693481445,0.7099697589874268,4.410730838775635,1.6269270181655884,3.5975077152252197,0.6344348192214966,,,,,,,,,,,,,,,,
12,20253,,,,,,,,,,,,,,,,,3.9185760021209717,1.5666511058807373,3.0996925830841064,0.5799522399902344,3.9691882133483887,1.4524857997894287,3.158377170562744,0.5866000056266785,5.580694198608398,2.029085159301758,4.74511194229126,0.6527777910232544,3.9481565952301025,1.4326695203781128,3.1384921073913574,0.5861610174179077
