epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
5,9347,5.011125564575195,2.0258688926696777,4.192080020904541,0.6825870871543884,5.261253833770752,2.004028081893921,4.443857669830322,0.7047397494316101,6.031517505645752,2.2990429401397705,5.201013088226318,0.8006042242050171,5.272228240966797,1.9977601766586304,4.455178260803223,0.7053065299987793,,,,,,,,,,,,,,,,
6,10905,,,,,,,,,,,,,,,,,4.968450546264648,1.959458827972412,4.16133975982666,0.7446300983428955,4.7663655281066895,1.8251193761825562,3.961484432220459,0.694599986076355,5.456766605377197,2.1102685928344727,4.638689041137695,0.7222222089767456,4.7365641593933105,1.808081865310669,3.9321014881134033,0.6895098686218262
6,10905,4.971811771392822,1.968146800994873,4.151149749755859,0.695024847984314,5.138664722442627,1.9522432088851929,4.320939540863037,0.7024521231651306,5.827649116516113,2.2329821586608887,4.992166042327881,0.7854984998703003,5.143421173095703,1.946712613105774,4.3262128829956055,0.7018958330154419,,,,,,,,,,,,,,,,
7,12463,,,,,,,,,,,,,,,,,4.894733905792236,1.8506819009780884,4.088211536407471,0.7016706466674805,4.609222412109375,1.6607375144958496,3.8001558780670166,0.6777999997138977,5.884815692901611,2.167775869369507,5.058436870574951,0.7222222089767456,4.562320709228516,1.6349902153015137,3.7532947063446045,0.6748724579811096
7,12463,4.932322025299072,1.9360690116882324,4.112000465393066,0.6696517467498779,5.017162799835205,1.8870176076889038,4.197343826293945,0.6899707317352295,5.84205961227417,2.21822190284729,5.015269756317139,0.7522658705711365,5.012624263763428,1.877793312072754,4.192946910858154,0.6908664107322693,,,,,,,,,,,,,,,,
8,14021,,,,,,,,,,,,,,,,,4.40103816986084,1.7865784168243408,3.5921008586883545,0.6300715804100037,4.661551475524902,1.7508337497711182,3.846926212310791,0.656000018119812,5.571381092071533,2.0282793045043945,4.741261005401611,0.7638888955116272,4.671234607696533,1.7430816888809204,3.856325149536133,0.6566866040229797
8,14021,4.8180365562438965,1.8896082639694214,3.995337724685669,0.6572139263153076,4.873599529266357,1.8178577423095703,4.053407192230225,0.681020975112915,5.510736465454102,2.1524922847747803,4.681564807891846,0.7522658705711365,4.869207859039307,1.8065650463104248,4.049363613128662,0.682096004486084,,,,,,,,,,,,,,,,
9,15579,,,,,,,,,,,,,,,,,4.428654670715332,1.7589588165283203,3.615457534790039,0.656324565410614,4.504054069519043,1.6707755327224731,3.6944539546966553,0.6668000221252441,5.782891273498535,2.1346054077148438,4.959167003631592,0.7916666865348816,4.490642547607422,1.6551754474639893,3.681598663330078,0.6657795310020447
9,15579,4.746694087982178,1.8711340427398682,3.926967144012451,0.6631841063499451,4.806975841522217,1.7965937852859497,3.9886741638183594,0.6776497960090637,5.582157135009766,2.126217842102051,4.750005722045898,0.7099697589874268,4.800974369049072,1.7851252555847168,3.9830074310302734,0.678463876247406,,,,,,,,,,,,,,,,
10,17137,,,,,,,,,,,,,,,,,4.493906497955322,1.6998401880264282,3.680691719055176,0.6897374987602234,4.228482246398926,1.4985123872756958,3.4171347618103027,0.6326000094413757,5.306879043579102,1.9746174812316895,4.477299690246582,0.7638888955116272,4.186598300933838,1.4722020626068115,3.3757152557373047,0.6251940727233887
10,17137,4.337900638580322,1.698319911956787,3.5180938243865967,0.632338285446167,4.40929651260376,1.5982111692428589,3.594862699508667,0.6418509483337402,5.1711626052856445,2.0168678760528564,4.341355323791504,0.7190332412719727,4.404482841491699,1.5831612348556519,3.5907511711120605,0.641566276550293,,,,,,,,,,,,,,,,
11,18695,,,,,,,,,,,,,,,,,4.340450763702393,1.647437334060669,3.523303985595703,0.6443914175033569,4.109189510345459,1.4328464269638062,3.291475772857666,0.6118000149726868,5.753463268280029,2.0693302154541016,4.919590473175049,0.6805555820465088,4.061446189880371,1.4027420282363892,3.2439358234405518,0.6076735258102417
11,18695,4.305268287658691,1.6499675512313843,3.483096122741699,0.6213930249214172,4.305243968963623,1.5530166625976562,3.4873175621032715,0.626319408416748,5.1379170417785645,1.9829835891723633,4.308050155639648,0.69486403465271,4.293033599853516,1.5380806922912598,3.4756600856781006,0.6257529854774475,,,,,,,,,,,,,,,,
12,20253,,,,,,,,,,,,,,,,,4.144952774047852,1.5679035186767578,3.3300087451934814,0.6109785437583923,4.009542942047119,1.414123296737671,3.1941521167755127,0.6097999811172485,4.855002403259277,1.778748631477356,4.022604942321777,0.7083333134651184,3.9834606647491455,1.3940107822418213,3.1682987213134766,0.6081171035766602
12,20253,4.236526012420654,1.6358007192611694,3.415816068649292,0.6094527244567871,4.273199081420898,1.5368552207946777,3.456247568130493,0.6268009543418884,5.234779357910156,2.0010595321655273,4.402901649475098,0.7099697589874268,4.262363910675049,1.5212384462356567,3.4459662437438965,0.627126157283783,,,,,,,,,,,,,,,,
13,21811,,,,,,,,,,,,,,,,,4.213506698608398,1.6019182205200195,3.3956990242004395,0.6706444025039673,4.066780090332031,1.4070199728012085,3.24955415725708,0.6269999742507935,5.312742710113525,1.8980309963226318,4.483585357666016,0.7777777910232544,4.0332465171813965,1.3810685873031616,3.2162678241729736,0.6205366849899292
13,21811,4.210273742675781,1.5950614213943481,3.386704921722412,0.6109452843666077,4.231760501861572,1.5091664791107178,3.410846471786499,0.6150820851325989,5.261063575744629,1.9861159324645996,4.429018974304199,0.7401812672615051,4.218581676483154,1.494524598121643,3.3980703353881836,0.6136162281036377,,,,,,,,,,,,,,,,
14,23369,,,,,,,,,,,,,,,,,4.190979957580566,1.6166396141052246,3.3824374675750732,0.6491646766662598,4.05621337890625,1.4492390155792236,3.2427518367767334,0.6122000217437744,5.422667503356934,1.9015538692474365,4.590206146240234,0.7777777910232544,4.021870136260986,1.426459789276123,3.2082555294036865,0.6061210632324219
14,23369,4.232755184173584,1.6221933364868164,3.4116508960723877,0.6218905448913574,4.218868732452393,1.510948896408081,3.399214506149292,0.6186940670013428,5.224831581115723,1.9834078550338745,4.3944783210754395,0.7220543622970581,4.202884197235107,1.4941171407699585,3.3835132122039795,0.6168940663337708,,,,,,,,,,,,,,,,
15,24927,,,,,,,,,,,,,,,,,4.131783962249756,1.5936192274093628,3.3097727298736572,0.6181384325027466,4.043166637420654,1.413328766822815,3.222487688064575,0.6043999791145325,4.9918036460876465,1.8091986179351807,4.155797958374023,0.7222222089767456,4.019783973693848,1.3902536630630493,3.199475049972534,0.601241946220398
15,24927,4.193598747253418,1.6048721075057983,3.3736274242401123,0.5990049839019775,4.145714282989502,1.4819307327270508,3.3270583152770996,0.6036842465400696,5.012378215789795,1.9295449256896973,4.180974006652832,0.6737160086631775,4.12874174118042,1.4644221067428589,3.3103888034820557,0.6030740737915039,,,,,,,,,,,,,,,,
16,26485,,,,,,,,,,,,,,,,,4.284423351287842,1.6880321502685547,3.467299461364746,0.5990453362464905,4.2090229988098145,1.497819185256958,3.3841023445129395,0.6069999933242798,5.673505783081055,2.0810046195983887,4.8403639793396,0.6805555820465088,4.178631782531738,1.4708315134048462,3.3531174659729004,0.6065646409988403
16,26485,4.162487030029297,1.593370795249939,3.3426785469055176,0.6019900441169739,4.12362813949585,1.4732290506362915,3.304612159729004,0.6009953022003174,5.225729465484619,1.946603775024414,4.395094394683838,0.7069486379623413,4.104010105133057,1.4555925130844116,3.2852327823638916,0.5993533134460449,,,,,,,,,,,,,,,,
17,28043,,,,,,,,,,,,,,,,,3.8299577236175537,1.5270589590072632,3.016529083251953,0.5560859441757202,3.830444097518921,1.334849238395691,3.018230676651001,0.5703999996185303,5.45665979385376,2.0317752361297607,4.62541389465332,0.7638888955116272,3.804521083831787,1.3058600425720215,2.992724895477295,0.5686404705047607
17,28043,4.219359397888184,1.5881370306015015,3.400644540786743,0.6179104447364807,4.127073287963867,1.4679428339004517,3.3090579509735107,0.6055704951286316,5.049151420593262,1.914609432220459,4.217227935791016,0.7069486379623413,4.105334281921387,1.450690746307373,3.2875897884368896,0.6029854416847229,,,,,,,,,,,,,,,,
18,29601,,,,,,,,,,,,,,,,,4.138562202453613,1.5941845178604126,3.31868052482605,0.5894988179206848,4.095954895019531,1.4045270681381226,3.274024724960327,0.5831999778747559,5.332651138305664,2.0064022541046143,4.492998123168945,0.7083333134651184,4.072248458862305,1.3772923946380615,3.250410318374634,0.5806165337562561
18,29601,4.064759731292725,1.5542012453079224,3.2465367317199707,0.5925372838973999,4.0461201667785645,1.4477159976959229,3.2300124168395996,0.596460223197937,4.857028484344482,1.8847379684448242,4.029528617858887,0.6858006119728088,4.032578468322754,1.4318277835845947,3.216813564300537,0.5954996347427368,,,,,,,,,,,,,,,,
